year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,7.284740,7.052195,8.029929,7.411758,7.982745,7.111215,8.881817,7.945617,6.794563
2011,6.590526,6.200719,7.377836,6.943720,7.167235,6.701323,7.820684,7.384226,6.186470
2012,4.436393,4.285315,5.055407,4.944189,5.265741,5.118084,5.901089,4.969132,4.197890
2013,5.798799,5.573907,6.391770,6.191380,8.288568,6.129617,6.665336,6.387280,5.456864
2014,7.090144,6.365429,6.934217,6.711761,9.008804,6.834649,7.414891,7.600775,6.309728
2015,3.830344,3.936559,3.955524,4.400529,5.818904,4.436219,5.351985,4.549214,3.810969
2016,3.702813,3.440444,3.761103,3.641224,5.288969,3.767287,4.637625,3.596053,3.182103
2017,4.367491,4.171180,4.273347,4.309878,5.501604,4.303622,5.005705,4.591622,3.918561
2018,4.194623,4.135983,4.343893,4.429510,6.041946,4.435284,4.821424,4.452841,3.887967
2019,3.158146,3.382092,3.666846,3.652844,5.626095,3.851271,4.210978,3.444215,2.928796
2020,2.500094,2.847042,3.002106,3.202177,5.028296,3.395345,3.632215,2.932145,2.437787
2021,5.354461,6.103195,5.469398,6.467966,8.165012,6.896124,6.814051,5.812811,5.589903
2022,6.920882,8.127083,6.343897,8.030012,9.172878,8.260091,8.777133,7.836413,7.561634
2023,2.647104,3.014444,3.178631,3.390465,5.323960,3.594995,3.845785,3.104561,2.581129
2024,2.347516,2.717609,2.331541,2.918821,4.021704,3.265625,3.679544,2.676249,2.259577
2025,3.268552,3.778815,3.379013,3.678707,5.325405,3.919628,4.781505,3.541426,3.294860
2026,3.595711,4.140339,3.579604,4.047685,5.324889,4.242898,5.080299,3.873691,3.737669
2027,3.484283,3.950409,3.347171,3.955493,4.231030,4.092942,4.968219,3.847872,3.512904
2028,3.544278,3.991779,3.315939,4.099092,4.155579,4.283302,4.602939,3.934699,3.576442
2029,3.747785,4.209246,3.428625,4.329078,4.123753,4.532804,4.818919,4.209109,3.767626
2030,4.146273,4.875952,3.655290,4.929817,3.902078,5.166997,5.549663,4.832505,4.442943
2031,4.348245,5.231403,3.748328,5.380268,4.108847,5.607684,5.758215,5.122258,4.857481
2032,4.762383,5.617828,3.915184,5.885259,4.358751,6.052363,6.329670,5.663197,5.341123
2033,4.535047,5.491001,3.894549,5.859532,4.339409,6.025182,5.962244,5.558170,5.265240
2034,4.305512,5.286448,3.800765,5.756997,4.286699,5.569988,5.758488,5.381374,5.074927
2035,4.187365,5.277354,3.741856,5.745817,4.220026,5.531476,5.739176,5.300879,5.081973
2036,4.195457,5.364456,3.728936,5.915677,4.300572,5.644624,6.168354,5.328556,5.247342
2037,4.298908,5.454193,3.877474,6.044068,4.436268,5.804154,5.916055,5.447619,5.365159
2038,4.356161,5.450463,3.969138,6.023650,4.501762,5.857410,5.918227,5.486612,5.373397
2039,4.453778,5.453105,4.036901,5.945096,4.565640,5.782586,5.873913,5.425759,5.386227
2040,4.465064,5.484130,4.024423,5.929826,4.540153,5.834826,5.914954,5.435948,5.406227
2041,4.457271,5.426873,4.111586,6.007441,4.596998,5.918538,5.902722,5.452645,5.420537
2042,4.454994,5.319212,4.149686,5.951848,4.617490,5.858219,6.136202,5.401155,5.317644
2043,4.400375,5.196852,4.125682,5.804568,4.589023,5.733068,6.009053,5.292042,5.179297
2044,4.332788,5.086615,4.025949,5.709803,4.330436,5.622851,5.878681,5.210352,5.093683
2045,4.241616,4.944200,3.884732,5.648788,4.219499,5.588075,5.486709,5.142129,5.035359
2046,4.197471,4.880015,3.792771,5.711275,4.196424,5.670421,5.530549,5.176457,5.060451
2047,4.132073,4.810425,3.717444,5.661644,4.119616,5.581164,5.348881,5.109780,4.958267
2048,4.062656,4.740374,3.663227,5.595249,4.044715,5.488992,5.279084,5.041185,4.862533
2049,4.000563,4.675830,3.620282,5.556533,3.981374,5.420349,5.208039,4.967881,4.769575
2050,3.939520,4.611669,3.592049,5.484926,4.201423,5.438996,5.144186,4.903520,4.701788
