st,country,cendiv,usda_region,h2ptcreg,gasreg
AL,USA,East_South_Central,southeast,Southeast,East_South_Central
AR,USA,West_South_Central,delta-states,Delta,West_South_Central
AZ,USA,Mountain,mountain,Southwest,Southwest
CA,USA,Pacific,pacific,California,California
CO,USA,Mountain,mountain,Mountain,Mountain
CT,USA,New_England,northeast,NewEngland,New_England
DE,USA,South_Atlantic,northeast,MidAtlantic,South_Atlantic
FL,USA,South_Atlantic,southeast,Florida,South_Atlantic
GA,USA,South_Atlantic,southeast,Southeast,South_Atlantic
IA,USA,West_North_Central,corn-belt,Midwest,West_North_Central
ID,USA,Mountain,mountain,Northwest,Mountain
IL,USA,East_North_Central,corn-belt,Midwest,East_North_Central
IN,USA,East_North_Central,corn-belt,Midwest,East_North_Central
KS,USA,West_North_Central,northern-plains,Plains,West_North_Central
KY,USA,East_South_Central,appalachia,MidAtlantic,East_South_Central
LA,USA,West_South_Central,delta-states,Delta,West_South_Central
MA,USA,New_England,northeast,NewEngland,New_England
MD,USA,South_Atlantic,northeast,MidAtlantic,South_Atlantic
ME,USA,New_England,northeast,NewEngland,New_England
MI,USA,East_North_Central,lake-states,Midwest,East_North_Central
MN,USA,West_North_Central,lake-states,Midwest,West_North_Central
MO,USA,West_North_Central,corn-belt,Midwest,West_North_Central
MS,USA,East_South_Central,delta-states,Delta,East_South_Central
MT,USA,Mountain,mountain,Mountain,Mountain
NC,USA,South_Atlantic,appalachia,Southeast,South_Atlantic
ND,USA,West_North_Central,northern-plains,Plains,West_North_Central
NE,USA,West_North_Central,northern-plains,Plains,West_North_Central
NH,USA,New_England,northeast,NewEngland,New_England
NJ,USA,Mid_Atlantic,northeast,MidAtlantic,Mid_Atlantic
NM,USA,Mountain,mountain,Southwest,Southwest
NV,USA,Mountain,mountain,Mountain,Mountain
NY,USA,Mid_Atlantic,northeast,NewYork,Mid_Atlantic
OH,USA,East_North_Central,corn-belt,MidAtlantic,East_North_Central
OK,USA,West_South_Central,southern-plains,Plains,West_South_Central
OR,USA,Pacific,pacific,Northwest,Northwest
PA,USA,Mid_Atlantic,northeast,MidAtlantic,Mid_Atlantic
RI,USA,New_England,northeast,NewEngland,New_England
SC,USA,South_Atlantic,southeast,Southeast,South_Atlantic
SD,USA,West_North_Central,northern-plains,Plains,West_North_Central
TN,USA,East_South_Central,appalachia,Southeast,East_South_Central
TX,USA,West_South_Central,southern-plains,Texas,West_South_Central
UT,USA,Mountain,mountain,Mountain,Mountain
VA,USA,South_Atlantic,appalachia,MidAtlantic,South_Atlantic
VT,USA,New_England,northeast,NewEngland,New_England
WA,USA,Pacific,pacific,Northwest,Northwest
WI,USA,East_North_Central,lake-states,Midwest,East_North_Central
WV,USA,South_Atlantic,appalachia,MidAtlantic,South_Atlantic
WY,USA,Mountain,mountain,Mountain,Mountain
